geoid,Data File Year,STATE,STATEA,COUNTY,County_Code,CensusTractCode,BlockGroupCode,Estimates: Area Name,Total_Population,White_pop,Black_pop, AmericanIndian_pop,Asian_pop,PacificIslander_pop,OtherRace_pop,EduTotal,Edu_8thGrade,Edu_HighSchoolOrGED,Edu_AssociateDegree,Edu_BachelorDegree,Edu_MasterDegree,Edu_ProfDegree,Edu_DoctorateDegree,Median_HH_Income,PerCapita_Income,Workers_Total,Worked_past_year,Worked_FT_past_year,Did_Not_Work
17003107201003,2006-2010,Illinois,17,Cook County,31,720100,3,"Block Group 3, Census Tract 7201, Cook County, Illinois",1236,651,585,0,0,0,0,856,0,165,22,309,146,50,13,115566,47928,743,644,539,99
17003107202001,2006-2010,Illinois,17,Cook County,31,720200,1,"Block Group 1, Census Tract 7202, Cook County, Illinois",1158,226,778,0,0,0,12,700,0,72,54,229,83,12,0,60185,26996,683,548,499,135
17003107202002,2006-2010,Illinois,17,Cook County,31,720200,2,"Block Group 2, Census Tract 7202, Cook County, Illinois",1456,350,1106,0,0,0,0,1048,0,300,31,174,112,33,21,66504,23493,832,547,462,285
17003107202003,2006-2010,Illinois,17,Cook County,31,720200,3,"Block Group 3, Census Tract 7202, Cook County, Illinois",1841,980,774,12,0,0,0,1173,0,226,80,290,197,133,25,72146,39735,1218,1062,699,156
17003107203001,2006-2010,Illinois,17,Cook County,31,720300,1,"Block Group 1, Census Tract 7203, Cook County, Illinois",774,702,72,0,0,0,0,505,9,33,29,140,63,29,27,96250,38432,468,390,337,78
17003107203002,2006-2010,Illinois,17,Cook County,31,720300,2,"Block Group 2, Census Tract 7203, Cook County, Illinois",612,344,239,0,29,0,0,367,0,44,10,92,28,34,47,73077,32843,411,340,227,71
17003107203003,2006-2010,Illinois,17,Cook County,31,720300,3,"Block Group 3, Census Tract 7203, Cook County, Illinois",1610,1141,412,0,0,0,13,935,0,48,19,371,213,40,29,103793,38175,1023,803,611,220
17003107203004,2006-2010,Illinois,17,Cook County,31,720300,4,"Block Group 4, Census Tract 7203, Cook County, Illinois",763,390,373,0,0,0,0,669,13,78,54,167,112,23,34,77234,44441,458,325,251,133
17003107204001,2006-2010,Illinois,17,Cook County,31,720400,1,"Block Group 1, Census Tract 7204, Cook County, Illinois",842,768,63,11,0,0,0,606,0,81,63,111,71,10,12,91635,37064,547,434,351,113
17003107204002,2006-2010,Illinois,17,Cook County,31,720400,2,"Block Group 2, Census Tract 7204, Cook County, Illinois",1457,1446,11,0,0,0,0,934,0,187,70,310,101,24,10,89274,40274,906,750,622,156
17003107205001,2006-2010,Illinois,17,Cook County,31,720500,1,"Block Group 1, Census Tract 7205, Cook County, Illinois",715,715,0,0,0,0,0,581,0,61,26,226,218,0,0,123077,50415,489,445,339,44
17003107205002,2006-2010,Illinois,17,Cook County,31,720500,2,"Block Group 2, Census Tract 7205, Cook County, Illinois",1383,1344,21,0,7,0,0,820,0,141,70,242,129,25,5,86875,35696,870,773,596,97
17003107206001,2006-2010,Illinois,17,Cook County,31,720600,1,"Block Group 1, Census Tract 7206, Cook County, Illinois",830,604,226,0,0,0,0,523,18,41,30,170,121,53,4,96500,45981,457,402,256,55
17003107206002,2006-2010,Illinois,17,Cook County,31,720600,2,"Block Group 2, Census Tract 7206, Cook County, Illinois",1004,907,74,0,23,0,0,713,0,121,64,244,114,49,0,100461,38896,691,543,482,148
17003107207001,2006-2010,Illinois,17,Cook County,31,720700,1,"Block Group 1, Census Tract 7207, Cook County, Illinois",1495,564,931,0,0,0,0,1101,29,36,129,400,105,118,9,54375,44605,1093,991,869,102
17003107207002,2006-2010,Illinois,17,Cook County,31,720700,2,"Block Group 2, Census Tract 7207, Cook County, Illinois",857,188,641,0,28,0,0,667,0,178,60,83,65,10,0,56026,24486,584,389,340,195
17003107207003,2006-2010,Illinois,17,Cook County,31,720700,3,"Block Group 3, Census Tract 7207, Cook County, Illinois",666,460,163,0,20,0,23,475,0,115,31,160,76,0,0,77614,31059,462,329,277,133
